cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
0,0.6929178155455193,0.7297503862609935,-6.54205600784407,0.09341444021868314,0.20720798233123366,0.06498013401444022,0.19363662378179225,0.692890052293796,120.66480511647254,33.96684097932018
1,0.3529404220334338,0.19804229177856947,-20.71506385311044,0.05193320087695259,0.8209024379528638,0.7813139914360099,0.17229656070156207,0.17929204864346396,103.10628637983008,28.560153466703206
2,0.4761597408882767,0.8207421540523435,-5.986573880346971,0.08381394586947619,0.06798984328096497,0.23765233984028888,0.264189494062023,0.3219682941811548,136.18531860317933,33.37098395443208
3,0.5345355695351518,0.3909996643872455,-10.48452732424126,0.05584490011525163,0.6658564862226277,0.06149568091577026,0.18567855359200922,0.4015000388974261,113.80079739723396,33.795524394928925
4,0.572970054446461,0.6741947368421052,-11.085325771324865,0.8257078039927405,0.7297411047186932,0.008287578157894738,0.665737658802178,0.44805980036297643,101.82336660617061,24.959165154264973
