artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
The Essentialists,3fiG8ldyPfaqhoq0xlgcZb,Fall,0.0069,0.37200000000000005,211691,0.861,0.0013800000000000002,9,0.294,-5.419,0,0.0885,152.009,4,0.35100000000000003,14
Kelechi,4PCaHJPzBxLkfaNZiI6Lxv,Cold,0.122,0.6970000000000001,139780,0.665,7.45e-06,11,0.466,-8.685,1,0.449,90.962,4,0.643,12
Rayito Colombiano,0l0ZsvmXnEya76p8GDrAiM,Al Final (feat. José Cantoral),0.294,0.612,209227,0.502,0.0,7,0.11599999999999999,-4.925,0,0.0266,85.01,4,0.43,13
Hazem Beltagui,5N57zGzO6TWRLtGUqC6bXn,Made Of Light (In Memory Of Helena Copto),0.7,0.598,308571,0.42100000000000004,0.893,6,0.0951,-17.695999999999998,1,0.0359,125.993,3,0.128,10
Hazem Beltagui,7baqRzRdcEHDQYMV4AKNTX,Back Home,0.177,0.546,337391,0.9309999999999999,0.345,1,0.11699999999999999,-6.537000000000001,0,0.0562,138.002,4,0.0687,12
Sarah Davachi,0H9TP2Cx9IBTGy0JpYEEKF,At Hand,0.9940000000000001,0.184,365141,0.0039299999999999995,0.9670000000000001,7,0.0843,-36.871,0,0.0578,70.819,4,0.158,19
Luis y Julian,118d1LWpOIcCvwwgCEDXeg,Se Les Pelo Baltazar,0.737,0.565,158929,0.293,0.0,7,0.0431,-12.84,1,0.121,199.601,3,0.9620000000000001,27
DJ Shone,2IZtpD5XpEJ3hqwyTZm4EE,Samo Sipaj,0.0322,0.738,184808,0.9670000000000001,0.0175,8,0.0824,-3.427,1,0.0447,128.03799999999998,4,0.972,37
Western Centuries,4CNLv4dFb7ukgsVDAW8dS0,Wild You Run,0.392,0.6559999999999999,272573,0.696,0.00022200000000000003,5,0.24,-6.925,1,0.0457,126.891,4,0.121,16
Adan Cruz,4AWysaOfURcFuEm0W17puW,Start Again,0.45299999999999996,0.435,191449,0.391,0.0,11,0.122,-16.081,1,0.345,83.44,4,0.532,46
Claude Debussy,3QGrbppWDMGi7mgfsv07yH,"Suite Bergamasque, L. 75: III. Clair de lune",0.995,0.382,423051,0.00573,0.9209999999999999,10,0.0698,-30.656,1,0.0501,68.8,4,0.0412,15
